Ticker,Sector,Score,Rating,Cobertura,Q,Val,Gro,Saf,Mom,Inc,pe,forward_pe,pb,ev_ebitda,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,dividend_yield,Mom%
TEAM,Technology,4.25,Regular,5/6,1.9,4.8,7.3,1.8,1.7,,,12.752381,13.227637,114.711,-0.19288999,-0.03502,0.317,,141.408,,-47.0
PYPL,Financial Services,4.2,Regular,6/6,6.1,8.2,3.6,5.8,1.5,3.1,8.326454,7.7096395,1.9770136,6.299,0.25120002,0.14997,0.072,-0.062,58.28,1.26,-38.9
CVX,Energy,4.18,Regular,6/6,3.6,5.3,3.2,6.4,3.2,7.0,29.292173,13.340535,1.8129076,10.131,0.06638,0.059270002,0.023,-0.445,23.989,4.16,32.2
BMA,Financial Services,4.18,Regular,6/6,3.5,4.7,1.2,4.0,7.0,9.8,23.693094,9.349541,16.651121,,0.10824,0.075780004,-0.996,,,5.82,31.0
NSANY,Consumer Cyclical,4.17,Regular,5/6,2.4,7.5,2.2,5.9,6.5,,,4.4186044,0.22370373,22.376,-0.09856,-0.0444,-0.017,,170.177,,3.7
DEO,Consumer Defensive,4.16,Regular,6/6,6.0,3.8,3.3,6.3,1.8,7.4,19.218245,13.107139,71.82263,139.111,0.19716999,0.12189,-0.04,0.029,177.377,3.97,-14.9
MMM,Industrials,4.16,Regular,6/6,8.3,4.5,2.8,5.0,2.2,5.7,31.355213,17.144306,25.962276,14.888,0.71458,0.11137,0.013,-0.397,396.497,1.9,2.6
SAP,Technology,4.14,Regular,6/6,5.4,7.5,2.7,5.1,1.9,7.3,21.847672,15.912116,3.464851,15.399,0.16350001,0.19584,0.06,0.093,17.331,1.89,-39.2
NKE,Consumer Cyclical,4.12,Regular,6/6,5.2,4.6,2.3,7.7,2.2,8.6,27.289474,23.162832,4.3571424,16.425,0.16016,0.04836,0.001,-0.348,79.333,4.02,-34.7
DOCU,Technology,4.12,Regular,5/6,4.4,7.5,3.9,4.5,2.4,,29.246754,8.836969,4.778273,20.652,0.16440001,0.09592,0.087,0.176,10.075,,-32.6
